store_id,total_revenue
STR002,205143.41
STR016,141784.57
STR006,73826.01
STR005,55742.81
STR011,46240.64
STR010,44605.21
STR013,44517.31
STR003,40920.58
STR018,38230.58
STR025,37501.83
STR004,34597.72
STR031,23336.13
STR014,18375.53
STR015,16994.58
STR001,16576.81
STR007,15159.72
STR017,14366.72
STR033,13722.17
STR019,13366.22
STR012,12558.3
STR023,12252.55
STR027,10134.23
STR032,9637.57
STR035,8581.34
STR034,7949.05
STR040,7414.98
STR043,6799.78
STR020,6452.27
STR022,6373.76
STR037,6299.5
STR030,5940.85
STR021,5599.59
STR026,5521.26
STR036,5464.73
STR008,5248.28
STR009,4756.56
STR038,3992.2
STR029,3449.55
STR028,2753.43
STR039,2030.09
STR042,1961.62
STR046,1628.72
STR048,1603.14
STR024,1025.11
STR049,673.34
STR044,548.07
STR047,134.42
STR041,116.18
STR045,74.0
danakay521,0.0
andyger567,0.0
willbro822,0.0
erichac215,0.0
mitcgas943,0.0
mariete660,0.0
maxwsch106,0.0
andrgje381,0.0
frank.hawley489@outlook.com,0.0
carojum405,0.0
xylopre455,0.0
barbfis180,0.0
barrfra792,0.0
ionimcg612,0.0
michlon68,0.0
delflat628,0.0
patro'b66,0.0
lisarya351,0.0
tonycha278,0.0
rolasch720,0.0
larrtro326,0.0
laurarm119,0.0
chriabe719,0.0
tracblu386,0.0
chricor322,0.0
krishas928,0.0
peteful31,0.0
guyarm162,0.0
sylvfou275,0.0
jerelon119,0.0
cassbra950,0.0
scotwoo827,0.0
francar462,0.0
benpet858,0.0
shirdan585,0.0
rickben344,0.0
mikegoc152,0.0
rickdus66,0.0
dianarn564,0.0
filimca425,0.0
jennhal437,0.0
jaso'c418,0.0
michngu107,0.0
barbfis749,0.0
richeic73,0.0
ryancro990,0.0
paulpro869,0.0
julibar103,0.0
kalymea55,0.0
jerepis404,0.0
kellwil71,0.0
davibre358,0.0
billste226,0.0
muhayed236,0.0
deaneno290,0.0
marccri559,0.0
fredhop621,0.0
cathglo54,0.0
2016-12-14 01:42:43,0.0
,0.0
deankat208,0.0
joeleat810,0.0
bartpis694,0.0
franols903,0.0
alyscro415,0.0
alandom443,0.0
georbel120,0.0
valedom204,0.0
jimkri339,0.0
neommur917,0.0
garyhan529,0.0
2015-04-20 21:37:07,0.0
stepphe870,0.0
chrikar165,0.0
alekgan577,0.0
mattabe752,0.0
sallhug250,0.0
sueree520,0.0
arthwie187,0.0
toddboy972,0.0
bartpis849,0.0
annaand601,0.0
billdon359,0.0
andrall58,0.0
evanhen899,0.0
tobyswi598,0.0
sethver925,0.0
garyhwa638,0.0
joeleat475,0.0
petetak481,0.0
patro'b787,0.0
annemcf735,0.0
cathglo133,0.0
guyarm367,0.0
brucste826,0.0
harrmar16,0.0
jonadoh391,0.0
chrimca678,0.0
annaand956,0.0
darrmar633,0.0
anthgar971,0.0
timbro805,0.0
ellibal867,0.0
maxjon221,0.0
lena.cacioppo846@yahoo.com,0.0
adambel604,0.0
kathmur807,0.0
deanbra177,0.0
barrpon762,0.0
adambel533,0.0
ken.lonsdale556@outlook.com,0.0
edwabec603,0.0
willbro352,0.0
lizcar56,0.0
cindsch848,0.0
alansch941,0.0
robbee917,0.0
petekri320,0.0
karen.carlisle724@outlook.com,0.0
rickhut496,0.0
sungsha284,0.0
guypho987,0.0
billove155,0.0
chrisel62,0.0
victwil206,0.0
2016-05-14 23:22:22,0.0
joeeli680,0.0
anthgar783,0.0
deborah.brumfield073@yahoo.com,0.0
zusccar155,0.0
markhab374,0.0
fredhop141,0.0
briamos574,0.0
ralparn760,0.0
kenlon456,0.0
anthjoh854,0.0
giulbap750,0.0
joseair213,0.0
marizet56,0.0
jamikun651,0.0
natadec171,0.0
adribar101,0.0
annaand970,0.0
beckpak438,0.0
davebro765,0.0
alejbal539,0.0
edwahoo803,0.0
susagil563,0.0
kenbre139,0.0
sarah.bern807@hotmail.com,0.0
krisnun213,0.0
shirdan478,0.0
sanjjac655,0.0
russapp932,0.0
2017-07-08 04:00:17,0.0
shirdan609,0.0
mikegoc394,0.0
ralpken121,0.0
tamacha530,0.0
edwanaz858,0.0
billove378,0.0
patro'b520,0.0
beckmar190,0.0
joekam347,0.0
dennord240,0.0
sungsha633,0.0
vickfre115,0.0
2017-09-20 08:07:58,0.0
bryamil748,0.0
carllud966,0.0
braddru893,0.0
darrmar299,0.0
barrblu674,0.0
kalymea204,0.0
logacur967,0.0
brucste234,0.0
erinash944,0.0
jamikun374,0.0
2016-09-15 08:23:27,0.0
lenacac201,0.0
clauber588,0.0
mego'c733,0.0
carodar323,0.0
alejgro565,0.0
janemar668,0.0
traccol989,0.0
erinsmi332,0.0
lenacre952,0.0
julibar145,0.0
eugemor803,0.0
doug.o'connell843@hotmail.com,0.0
katrede234,0.0
eugemor946,0.0
yanasor724,0.0
sallhug229,0.0
benwal854,0.0
sanjjac131,0.0
tamawil749,0.0
chadmcg399,0.0
trachop654,0.0
patrbzo477,0.0
guyarm648,0.0
robwil927,0.0
2015-09-03 08:59:53,0.0
sungpak12,0.0
pierwen408,0.0
troysta565,0.0
mariber102,0.0
edbra689,0.0
fredchu124,0.0
nickrad114,0.0
jennpat120,0.0
lisarya164,0.0
willbro203,0.0
dennbla65,0.0
cyrarei853,0.0
anncho911,0.0
carllud664,0.0
xylopre790,0.0
greggut366,0.0
alansho411,0.0
kelllam886,0.0
barrwei666,0.0
robemar242,0.0
norapai824,0.0
elizmof547,0.0
mego'c494,0.0
spergor193,0.0
mattcol987,0.0
jasogro725,0.0
bethpai791,0.0
eugemor715,0.0
damakot823,0.0
alejsav518,0.0
carlsol789,0.0
eugehil755,0.0
lindcaz571,0.0
shahcol360,0.0
amyhun601,0.0
royfra498,0.0
tamaman221,0.0
danrei161,0.0
jonadoh789,0.0
samzel273,0.0
lukesch547,0.0
14-07-2017 07:41,0.0
monifed820,0.0
saphshi558,0.0
muhayed814,0.0
vivegon752,0.0
darrpow203,0.0
chadcun31,0.0
henrgol456,0.0
markhab327,0.0
dan.lawera064@outlook.com,0.0
shirjac784,0.0
chrisel233,0.0
davepoi501,0.0
tomboe363,0.0
cassbra631,0.0
carisay370,0.0
deanbra953,0.0
dianwil558,0.0
victpis301,0.0
sungsha776,0.0
sallmat79,0.0
logacur903,0.0
kenbla570,0.0
dianvit606,0.0
henrgol216,0.0
tomboe676,0.0
tobycar471,0.0
billtyl602,0.0
paulpro675,0.0
fredhop32,0.0
mattcol913,0.0
neommur692,0.0
jaspcac373,0.0
sarajor23,0.0
seanchr613,0.0
hilahol953,0.0
markhuf748,0.0
tobyrit786,0.0
mattcol751,0.0
toddsum138,0.0
krisnun158,0.0
beckmar742,0.0
chridem667,0.0
aarosma157,0.0
